,Mean,Median,Standard Deviation
mcap,89374.20240480962,33828.0,136770.1937442822
liquidity,7.380160320641286,4.3,9.626585676213272
buy,210.43163538873995,108.0,284.1207693519729
sell,260.1583166332665,88.0,457.3766440956829
scams,0.4877960241740133,0.5,0.2777772494701363
worth,3887.555110220441,1224.0,6427.5879620983
contract_age,9044.905811623246,32.0,60598.651374422036
pair_age,8716.751503006011,23.0,60580.41652348565
funding_time,25642.084168336674,22.0,113791.8851211218
airdrops,10.60120240480962,1.0,82.98240534562046
amount,420.2124248496994,203.0,524.9964839870136
wallet,10204.525050100201,5505.0,22092.83219377368
ape_score,25.236472945891784,23.0,14.134330887002127
safu_score,89.20841683366733,94.0,14.858659709815221
buy_tax,2.701803607214428,0.0,6.737285865751467
sell_tax,6.399628226941755,1.0,13.73868895696182
owner_quant,20.4749498997996,12.0,77.2497961015978
holds_qty,139.3507014028056,104.0,128.26951128232872
holds_amt,137.8194388777555,74.8,222.19866965865947
spoofed_qty,0.843687374749499,0.0,2.6997722703420295
spoofed_pct,1.0250501002004007,0.0,6.715515343800961
snipers_qty,7.533066132264529,3.0,9.959577377771124
snipers_pct,7.567535070140277,2.7,10.578774504465898
fresh_qty,5.076152304609218,3.0,9.019735858921148
fresh_pct,4.79559118236473,1.5,9.22210657060526
whales_qty,0.9839679358717435,0.0,1.4027166295246218
whales_pct,1.0993987975951904,0.0,1.7973819758602039
safu_score_qty,58.50901803607214,26.0,85.72205376005061
printed,0.35070140280561124,0.0,0.47766848098754844
